time,src,lvl,data
2025-10-11 09:00:15,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:00:18,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:00:19,FakeBCI,SIM,"{""attention"": 0.8012662991407099, ""relaxation"": 0.8648717265617749, ""intent"": 0.561041435202869}"
2025-10-11 09:00:19,NRPI,TRACE,"{""sample"": {""attention"": 0.8012662991407099, ""relaxation"": 0.8648717265617749, ""intent"": 0.561041435202869}, ""ri"": 0.4173627192956113}"
2025-10-11 09:00:19,Decoder,INFO,"{""ri"": 0.4173627192956113, ""intent"": ""idle""}"
2025-10-11 09:00:19,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:00:19,UCG,INFO,"{""energy"": 0.20868135964780565, ""action"": ""ALLOW""}"
2025-10-11 09:00:19,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:00:20,FakeBCI,SIM,"{""attention"": 0.8697732754354981, ""relaxation"": 0.35644904885232265, ""intent"": 0.26082610849548094}"
2025-10-11 09:00:20,NRPI,TRACE,"{""sample"": {""attention"": 0.8697732754354981, ""relaxation"": 0.35644904885232265, ""intent"": 0.26082610849548094}, ""ri"": 0.43199716130764504}"
2025-10-11 09:00:20,Decoder,INFO,"{""ri"": 0.43199716130764504, ""intent"": ""idle""}"
2025-10-11 09:00:20,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:00:20,UCG,INFO,"{""energy"": 0.21599858065382252, ""action"": ""ALLOW""}"
2025-10-11 09:00:20,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:39,FakeBCI,SIM,"{""attention"": 0.8081603248765211, ""relaxation"": 0.9646942936587237, ""intent"": 0.6965518550351548}"
2025-10-11 09:01:40,NRPI,TRACE,"{""sample"": {""attention"": 0.8081603248765211, ""relaxation"": 0.9646942936587237, ""intent"": 0.6965518550351548}, ""ri"": 0.39676604307576047}"
2025-10-11 09:01:40,Decoder,INFO,"{""ri"": 0.39676604307576047, ""intent"": ""idle""}"
2025-10-11 09:01:40,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:40,UCG,INFO,"{""energy"": 0.19838302153788023, ""action"": ""ALLOW""}"
2025-10-11 09:01:40,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:41,FakeBCI,SIM,"{""attention"": 0.06156991480530427, ""relaxation"": 0.43917800646469585, ""intent"": 0.2705553100818624}"
2025-10-11 09:01:41,NRPI,TRACE,"{""sample"": {""attention"": 0.06156991480530427, ""relaxation"": 0.43917800646469585, ""intent"": 0.2705553100818624}, ""ri"": 0.1755898019946914}"
2025-10-11 09:01:41,Decoder,INFO,"{""ri"": 0.1755898019946914, ""intent"": ""idle""}"
2025-10-11 09:01:41,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:41,UCG,INFO,"{""energy"": 0.0877949009973457, ""action"": ""ALLOW""}"
2025-10-11 09:01:41,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:42,FakeBCI,SIM,"{""attention"": 0.5469555133118811, ""relaxation"": 0.975327832043575, ""intent"": 0.6817877999823517}"
2025-10-11 09:01:42,NRPI,TRACE,"{""sample"": {""attention"": 0.5469555133118811, ""relaxation"": 0.975327832043575, ""intent"": 0.6817877999823517}, ""ri"": 0.32941798383981474}"
2025-10-11 09:01:42,Decoder,INFO,"{""ri"": 0.32941798383981474, ""intent"": ""idle""}"
2025-10-11 09:01:42,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:42,UCG,INFO,"{""energy"": 0.16470899191990737, ""action"": ""ALLOW""}"
2025-10-11 09:01:42,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:43,FakeBCI,SIM,"{""attention"": 0.6032082852557922, ""relaxation"": 0.7482986356037884, ""intent"": 0.0799953833872652}"
2025-10-11 09:01:43,NRPI,TRACE,"{""sample"": {""attention"": 0.6032082852557922, ""relaxation"": 0.7482986356037884, ""intent"": 0.0799953833872652}, ""ri"": 0.21745257971931442}"
2025-10-11 09:01:43,Decoder,INFO,"{""ri"": 0.21745257971931442, ""intent"": ""idle""}"
2025-10-11 09:01:43,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:43,UCG,INFO,"{""energy"": 0.10872628985965721, ""action"": ""ALLOW""}"
2025-10-11 09:01:43,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:44,FakeBCI,SIM,"{""attention"": 0.2678349752758624, ""relaxation"": 0.1616179202807383, ""intent"": 0.9834016274792383}"
2025-10-11 09:01:44,NRPI,TRACE,"{""sample"": {""attention"": 0.2678349752758624, ""relaxation"": 0.1616179202807383, ""intent"": 0.9834016274792383}, ""ri"": 0.4612634514722878}"
2025-10-11 09:01:44,Decoder,INFO,"{""ri"": 0.4612634514722878, ""intent"": ""greet""}"
2025-10-11 09:01:44,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:01:44,UCG,INFO,"{""energy"": 0.2306317257361439, ""action"": ""ALLOW""}"
2025-10-11 09:01:44,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:01:48,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:01:49,FakeBCI,SIM,"{""attention"": 0.4114536398387405, ""relaxation"": 0.32886168916074054, ""intent"": 0.4079771289578559}"
2025-10-11 09:01:49,NRPI,TRACE,"{""sample"": {""attention"": 0.4114536398387405, ""relaxation"": 0.32886168916074054, ""intent"": 0.4079771289578559}, ""ri"": 0.33930923091940396}"
2025-10-11 09:01:49,Decoder,INFO,"{""ri"": 0.33930923091940396, ""intent"": ""idle""}"
2025-10-11 09:01:49,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:49,UCG,INFO,"{""energy"": 0.16965461545970198, ""action"": ""ALLOW""}"
2025-10-11 09:01:49,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:50,FakeBCI,SIM,"{""attention"": 0.24642961240452388, ""relaxation"": 0.6896469705498988, ""intent"": 0.30005399130739807}"
2025-10-11 09:01:50,NRPI,TRACE,"{""sample"": {""attention"": 0.24642961240452388, ""relaxation"": 0.6896469705498988, ""intent"": 0.30005399130739807}, ""ri"": 0.22576778969601466}"
2025-10-11 09:01:50,Decoder,INFO,"{""ri"": 0.22576778969601466, ""intent"": ""idle""}"
2025-10-11 09:01:50,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:50,UCG,INFO,"{""energy"": 0.11288389484800733, ""action"": ""ALLOW""}"
2025-10-11 09:01:50,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:51,FakeBCI,SIM,"{""attention"": 0.4477771845931109, ""relaxation"": 0.834322278543194, ""intent"": 0.08983235985242022}"
2025-10-11 09:01:51,NRPI,TRACE,"{""sample"": {""attention"": 0.4477771845931109, ""relaxation"": 0.834322278543194, ""intent"": 0.08983235985242022}, ""ri"": 0.15510975875590244}"
2025-10-11 09:01:51,Decoder,INFO,"{""ri"": 0.15510975875590244, ""intent"": ""idle""}"
2025-10-11 09:01:51,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:51,UCG,INFO,"{""energy"": 0.07755487937795122, ""action"": ""ALLOW""}"
2025-10-11 09:01:51,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:52,FakeBCI,SIM,"{""attention"": 0.18200918798431687, ""relaxation"": 0.3772560421303812, ""intent"": 0.6168539389156369}"
2025-10-11 09:01:52,NRPI,TRACE,"{""sample"": {""attention"": 0.18200918798431687, ""relaxation"": 0.3772560421303812, ""intent"": 0.6168539389156369}, ""ri"": 0.3885507709683951}"
2025-10-11 09:01:52,Decoder,INFO,"{""ri"": 0.3885507709683951, ""intent"": ""idle""}"
2025-10-11 09:01:52,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:01:52,UCG,INFO,"{""energy"": 0.19427538548419754, ""action"": ""ALLOW""}"
2025-10-11 09:01:52,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:01:53,FakeBCI,SIM,"{""attention"": 0.5163364201817385, ""relaxation"": 0.6932453564213383, ""intent"": 0.8449828513141983}"
2025-10-11 09:01:53,NRPI,TRACE,"{""sample"": {""attention"": 0.5163364201817385, ""relaxation"": 0.6932453564213383, ""intent"": 0.8449828513141983}, ""ri"": 0.5756390252774006}"
2025-10-11 09:01:53,Decoder,INFO,"{""ri"": 0.5756390252774006, ""intent"": ""greet""}"
2025-10-11 09:01:53,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:01:53,UCG,INFO,"{""energy"": 0.2878195126387003, ""action"": ""ALLOW""}"
2025-10-11 09:01:53,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:01:56,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:02:23,FakeBCI,SIM,"{""attention"": 0.8450638637708913, ""relaxation"": 0.5666679576960842, ""intent"": 0.05238010136354809}"
2025-10-11 09:02:23,NRPI,TRACE,"{""sample"": {""attention"": 0.8450638637708913, ""relaxation"": 0.5666679576960842, ""intent"": 0.05238010136354809}, ""ri"": 0.3448228889292455}"
2025-10-11 09:02:23,Decoder,INFO,"{""ri"": 0.3448228889292455, ""intent"": ""idle""}"
2025-10-11 09:02:23,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:23,UCG,INFO,"{""energy"": 0.17241144446462275, ""action"": ""ALLOW""}"
2025-10-11 09:02:23,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:24,FakeBCI,SIM,"{""attention"": 0.10193177770663109, ""relaxation"": 0.27548297460189586, ""intent"": 0.18893230118958848}"
2025-10-11 09:02:24,NRPI,TRACE,"{""sample"": {""attention"": 0.10193177770663109, ""relaxation"": 0.27548297460189586, ""intent"": 0.18893230118958848}, ""ri"": 0.11952681302788902}"
2025-10-11 09:02:24,Decoder,INFO,"{""ri"": 0.11952681302788902, ""intent"": ""idle""}"
2025-10-11 09:02:24,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:24,UCG,INFO,"{""energy"": 0.05976340651394451, ""action"": ""ALLOW""}"
2025-10-11 09:02:24,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:25,FakeBCI,SIM,"{""attention"": 0.5427768684733097, ""relaxation"": 0.9249508908909523, ""intent"": 0.8505716679560811}"
2025-10-11 09:02:25,NRPI,TRACE,"{""sample"": {""attention"": 0.5427768684733097, ""relaxation"": 0.9249508908909523, ""intent"": 0.8505716679560811}, ""ri"": 0.4183216297991549}"
2025-10-11 09:02:25,Decoder,INFO,"{""ri"": 0.4183216297991549, ""intent"": ""idle""}"
2025-10-11 09:02:25,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:25,UCG,INFO,"{""energy"": 0.20916081489957744, ""action"": ""ALLOW""}"
2025-10-11 09:02:25,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:26,FakeBCI,SIM,"{""attention"": 0.16753866438541154, ""relaxation"": 0.036606956454991235, ""intent"": 0.14182648224543937}"
2025-10-11 09:02:26,NRPI,TRACE,"{""sample"": {""attention"": 0.16753866438541154, ""relaxation"": 0.036606956454991235, ""intent"": 0.14182648224543937}, ""ri"": 0.0816240113032218}"
2025-10-11 09:02:26,Decoder,INFO,"{""ri"": 0.0816240113032218, ""intent"": ""idle""}"
2025-10-11 09:02:26,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:26,UCG,INFO,"{""energy"": 0.0408120056516109, ""action"": ""ALLOW""}"
2025-10-11 09:02:26,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:27,FakeBCI,SIM,"{""attention"": 0.5899948222448391, ""relaxation"": 0.3346946332511175, ""intent"": 0.9437701935704029}"
2025-10-11 09:02:27,NRPI,TRACE,"{""sample"": {""attention"": 0.5899948222448391, ""relaxation"": 0.3346946332511175, ""intent"": 0.9437701935704029}, ""ri"": 0.6696421540668359}"
2025-10-11 09:02:27,Decoder,INFO,"{""ri"": 0.6696421540668359, ""intent"": ""greet""}"
2025-10-11 09:02:27,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:02:27,UCG,INFO,"{""energy"": 0.33482107703341796, ""action"": ""ALLOW""}"
2025-10-11 09:02:27,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:02:30,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:02:31,FakeBCI,SIM,"{""attention"": 0.5550283436807334, ""relaxation"": 0.9438725751680852, ""intent"": 0.5211746324148385}"
2025-10-11 09:02:31,NRPI,TRACE,"{""sample"": {""attention"": 0.5550283436807334, ""relaxation"": 0.9438725751680852, ""intent"": 0.5211746324148385}, ""ri"": 0.2973702971195061}"
2025-10-11 09:02:31,Decoder,INFO,"{""ri"": 0.2973702971195061, ""intent"": ""idle""}"
2025-10-11 09:02:31,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:31,UCG,INFO,"{""energy"": 0.14868514855975304, ""action"": ""ALLOW""}"
2025-10-11 09:02:31,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:32,FakeBCI,SIM,"{""attention"": 0.4085490640097499, ""relaxation"": 0.4840448660266994, ""intent"": 0.0659914000129116}"
2025-10-11 09:02:32,NRPI,TRACE,"{""sample"": {""attention"": 0.4085490640097499, ""relaxation"": 0.4840448660266994, ""intent"": 0.0659914000129116}, ""ri"": 0.19977534261429508}"
2025-10-11 09:02:32,Decoder,INFO,"{""ri"": 0.19977534261429508, ""intent"": ""idle""}"
2025-10-11 09:02:32,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:32,UCG,INFO,"{""energy"": 0.09988767130714754, ""action"": ""ALLOW""}"
2025-10-11 09:02:32,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:33,FakeBCI,SIM,"{""attention"": 0.45168134659793324, ""relaxation"": 0.15685452882282414, ""intent"": 0.74866540699667}"
2025-10-11 09:02:33,NRPI,TRACE,"{""sample"": {""attention"": 0.45168134659793324, ""relaxation"": 0.15685452882282414, ""intent"": 0.74866540699667}, ""ri"": 0.41373413313430496}"
2025-10-11 09:02:33,Decoder,INFO,"{""ri"": 0.41373413313430496, ""intent"": ""idle""}"
2025-10-11 09:02:33,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:33,UCG,INFO,"{""energy"": 0.20686706656715248, ""action"": ""ALLOW""}"
2025-10-11 09:02:33,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:02:34,FakeBCI,SIM,"{""attention"": 0.7820999648377542, ""relaxation"": 0.6454777987930734, ""intent"": 0.6175042864182969}"
2025-10-11 09:02:34,NRPI,TRACE,"{""sample"": {""attention"": 0.7820999648377542, ""relaxation"": 0.6454777987930734, ""intent"": 0.6175042864182969}, ""ri"": 0.5839313866577324}"
2025-10-11 09:02:34,Decoder,INFO,"{""ri"": 0.5839313866577324, ""intent"": ""greet""}"
2025-10-11 09:02:34,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:02:34,UCG,INFO,"{""energy"": 0.2919656933288662, ""action"": ""ALLOW""}"
2025-10-11 09:02:34,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:02:37,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:02:38,FakeBCI,SIM,"{""attention"": 0.024685586747946187, ""relaxation"": 0.40073233038132494, ""intent"": 0.3930624176743748}"
2025-10-11 09:02:38,NRPI,TRACE,"{""sample"": {""attention"": 0.024685586747946187, ""relaxation"": 0.40073233038132494, ""intent"": 0.3930624176743748}, ""ri"": 0.22132045890561752}"
2025-10-11 09:02:38,Decoder,INFO,"{""ri"": 0.22132045890561752, ""intent"": ""idle""}"
2025-10-11 09:02:38,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:02:38,UCG,INFO,"{""energy"": 0.11066022945280876, ""action"": ""ALLOW""}"
2025-10-11 09:02:38,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:06:09,FakeBCI,SIM,"{""attention"": 0.9812921737409316, ""relaxation"": 0.6743444102584656, ""intent"": 0.2030697204541112}"
2025-10-11 09:06:09,NRPI,TRACE,"{""sample"": {""attention"": 0.9812921737409316, ""relaxation"": 0.6743444102584656, ""intent"": 0.2030697204541112}, ""ri"": 0.42468313724764106}"
2025-10-11 09:06:09,Decoder,INFO,"{""ri"": 0.42468313724764106, ""intent"": ""idle""}"
2025-10-11 09:06:09,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:06:09,UCG,INFO,"{""energy"": 0.21234156862382053, ""action"": ""ALLOW""}"
2025-10-11 09:06:09,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:06:10,FakeBCI,SIM,"{""attention"": 0.21974143750489683, ""relaxation"": 0.38114691430880354, ""intent"": 0.3638952229137782}"
2025-10-11 09:06:10,NRPI,TRACE,"{""sample"": {""attention"": 0.21974143750489683, ""relaxation"": 0.38114691430880354, ""intent"": 0.3638952229137782}, ""ri"": 0.2698368875226022}"
2025-10-11 09:06:10,Decoder,INFO,"{""ri"": 0.2698368875226022, ""intent"": ""idle""}"
2025-10-11 09:06:10,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:06:10,UCG,INFO,"{""energy"": 0.1349184437613011, ""action"": ""ALLOW""}"
2025-10-11 09:06:10,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:06:11,FakeBCI,SIM,"{""attention"": 0.5949186503932968, ""relaxation"": 0.25054389969171964, ""intent"": 0.01193009202008588}"
2025-10-11 09:06:11,NRPI,TRACE,"{""sample"": {""attention"": 0.5949186503932968, ""relaxation"": 0.25054389969171964, ""intent"": 0.01193009202008588}, ""ri"": 0.18397746021926972}"
2025-10-11 09:06:11,Decoder,INFO,"{""ri"": 0.18397746021926972, ""intent"": ""idle""}"
2025-10-11 09:06:11,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:06:11,UCG,INFO,"{""energy"": 0.09198873010963486, ""action"": ""ALLOW""}"
2025-10-11 09:06:11,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:06:12,FakeBCI,SIM,"{""attention"": 0.7201824957496908, ""relaxation"": 0.5275647139483862, ""intent"": 0.01002179631758826}"
2025-10-11 09:06:12,NRPI,TRACE,"{""sample"": {""attention"": 0.7201824957496908, ""relaxation"": 0.5275647139483862, ""intent"": 0.01002179631758826}, ""ri"": 0.28597967752679326}"
2025-10-11 09:06:12,Decoder,INFO,"{""ri"": 0.28597967752679326, ""intent"": ""idle""}"
2025-10-11 09:06:12,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:06:12,UCG,INFO,"{""energy"": 0.14298983876339663, ""action"": ""ALLOW""}"
2025-10-11 09:06:12,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:06:13,FakeBCI,SIM,"{""attention"": 0.8617254321827512, ""relaxation"": 0.8014998959101169, ""intent"": 0.6362445775465746}"
2025-10-11 09:06:13,NRPI,TRACE,"{""sample"": {""attention"": 0.8617254321827512, ""relaxation"": 0.8014998959101169, ""intent"": 0.6362445775465746}, ""ri"": 0.5074162638163641}"
2025-10-11 09:06:13,Decoder,INFO,"{""ri"": 0.5074162638163641, ""intent"": ""greet""}"
2025-10-11 09:06:13,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:06:13,UCG,INFO,"{""energy"": 0.25370813190818203, ""action"": ""ALLOW""}"
2025-10-11 09:06:13,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
